Condition,Confidence: ,Pos:,RT:,
0,,,,
,71,"(39.0, -22.0)",4.152366678999897,
,36,"(46.0, -27.0)",1.7536846139992122,
,30,"(-16.0, -34.0)",5.939118390000658,
,57,"(-1.0, -11.0)",1.7858083139999508,
,89,"(-18.0, 15.0)",2.119350896000469,
,84,"(16.0, 20.0)",1.8057914229993912,
,100,"(28.0, 6.0)",1.4547305809992395,
,96,"(22.0, 11.0)",2.872261537000668,
,70,"(18.0, -23.0)",3.4928498119988944,
,51,"(37.0, -16.0)",2.805756196999937,
,80,"(11.0, -1.0)",1.8564705649987445,
,50,"(32.0, -19.0)",2.565484684999319,
,90,"(-61.0, 32.0)",2.7596388700003445,
,51,"(8.0, -25.0)",2.345699035000507,
,47,"(41.0, 8.0)",3.93598449899946,
