subject,condition,RT,score,confidence,stock,im_id
subject_01,0.0,3.5529290249999126,0,65.0,0,1
subject_01,0.0,4.625295774000051,1,58.0,0,2
subject_01,0.0,7.8078570940001555,0,30.0,0,3
subject_01,0.0,3.2967843950000315,1,60.0,0,4
subject_01,0.0,2.716583876000186,1,74.0,1,5
subject_01,0.0,6.545630875999905,0,35.0,0,6
subject_01,0.0,1.8932841830001053,1,80.0,0,7
subject_01,0.0,0.8670828889999029,1,75.0,1,8
subject_01,0.0,3.236930971999982,1,55.0,1,9
subject_01,0.0,6.45686837800008,1,20.0,0,10
subject_01,0.0,2.594707515000209,1,65.0,0,11
subject_01,0.0,4.333485268999993,0,40.0,0,12
subject_01,0.0,2.153976514000078,1,80.0,0,13
subject_01,0.0,2.056095271999993,1,90.0,1,14
subject_01,0.0,1.229427775999966,1,70.0,0,15
subject_02,1.0,2.773783879999882,1,26.0,0,1
subject_02,1.0,4.230818147000264,0,3.0,0,2
subject_02,1.0,2.4217506710001544,1,32.0,0,3
subject_02,1.0,6.2263510830002815,1,2.0,0,4
subject_02,1.0,1.28579116300034,1,83.0,1,5
subject_02,1.0,6.985508642999776,1,60.0,0,6
subject_02,1.0,3.9036467239998274,1,45.0,0,7
subject_02,1.0,5.869236469000042,0,17.0,1,8
subject_02,1.0,6.741262938000092,0,1.0,1,9
subject_02,1.0,3.670960697999817,0,9.0,0,10
subject_02,1.0,3.816285881000113,1,8.0,0,11
subject_02,1.0,8.623438131000057,1,25.0,0,12
subject_02,1.0,7.126907550999931,1,59.0,0,13
subject_02,1.0,9.823504942000001,1,0.0,1,14
subject_02,1.0,nan,nan,0.0,0,15
subject_03,0.0,4.478837998000017,0,70.0,0,1
subject_03,0.0,2.6836386239999683,0,48.0,0,2
subject_03,0.0,3.8915513319999486,0,25.0,0,3
subject_03,0.0,2.086009797000088,0,60.0,0,4
subject_03,0.0,1.40007652099996,1,72.0,1,5
subject_03,0.0,2.9282534380000698,0,29.0,0,6
subject_03,0.0,2.495125179999945,1,100.0,0,7
subject_03,0.0,5.568779862000042,1,88.0,1,8
subject_03,0.0,4.044989751000003,1,39.0,1,9
subject_03,0.0,4.737279659000024,0,35.0,0,10
subject_03,0.0,4.747271021000074,1,47.0,0,11
subject_03,0.0,6.32569627500004,1,32.0,0,12
subject_03,0.0,2.8250477249999904,1,84.0,0,13
subject_03,0.0,2.9161140960000016,1,100.0,1,14
subject_03,0.0,2.136873790999971,1,99.0,0,15
subject_04,1.0,nan,nan,0.0,0,1
subject_04,1.0,8.254997768000068,0,30.0,0,2
subject_04,1.0,9.067168042000047,0,19.0,0,3
subject_04,1.0,9.236746044000027,1,21.0,0,4
subject_04,1.0,5.9630626699999985,1,71.0,1,5
subject_04,1.0,8.315459477999866,1,67.0,0,6
subject_04,1.0,4.571174841999891,1,50.0,0,7
subject_04,1.0,8.016122965999784,1,19.0,1,8
subject_04,1.0,nan,nan,0.0,1,9
subject_04,1.0,4.261283355999693,0,69.0,0,10
subject_04,1.0,1.0310501280000608,0,59.0,0,11
subject_04,1.0,8.436113767999814,1,61.0,0,12
subject_04,1.0,6.166042543000003,1,80.0,0,13
subject_04,1.0,nan,nan,0.0,1,14
subject_04,1.0,nan,nan,1.0,0,15
subject_05,1.0,2.2280311059994347,1,60.0,0,1
subject_05,1.0,4.1192039980005575,0,40.0,0,2
subject_05,1.0,5.619491835000191,1,60.0,0,3
subject_05,1.0,6.61080072599998,0,10.0,0,4
subject_05,1.0,5.518621530999553,1,50.0,1,5
subject_05,1.0,7.649210825999943,1,80.0,0,6
subject_05,1.0,4.216453752999768,1,40.0,0,7
subject_05,1.0,3.641405639000368,1,60.0,1,8
